i,j,cosine
353,1635,0.9930292963981628
167,1455,0.9822119474411011
1201,2710,0.9780887365341187
2515,3246,0.9780449867248535
2045,2313,0.9773929715156555
1300,2909,0.9742946028709412
1475,1791,0.9720442295074463
558,3927,0.97169029712677
670,3240,0.970759928226471
2043,2829,0.9698554873466492
558,2395,0.9682144522666931
2395,3927,0.9679459929466248
795,2687,0.9677632451057434
206,3596,0.9658899903297424
1043,1271,0.9658238291740417
2351,3727,0.9655923843383789
1660,2570,0.9633351564407349
1103,1349,0.9622244834899902
1724,3926,0.961485743522644
1468,2546,0.9608208537101746
