kind,path,shape,dtype,size,num_attrs
dataset,/12as,"(327, 256)",float32,83712,0
dataset,/12e8_chain_id_A,"(214, 256)",float32,54784,0
dataset,/12e8_chain_id_B,"(221, 256)",float32,56576,0
dataset,/146l,"(162, 256)",float32,41472,0
dataset,/155c,"(134, 256)",float32,34304,0
dataset,/157l,"(162, 256)",float32,41472,0
dataset,/169l,"(162, 256)",float32,41472,0
dataset,/16pk,"(415, 256)",float32,106240,0
dataset,/16vp,"(318, 256)",float32,81408,0
dataset,/176l,"(164, 256)",float32,41984,0
dataset,/189l,"(164, 256)",float32,41984,0
dataset,/1914,"(182, 256)",float32,46592,0
dataset,/191l,"(162, 256)",float32,41472,0
dataset,/19hc,"(292, 256)",float32,74752,0
dataset,/1a04,"(207, 256)",float32,52992,0
dataset,/1a05,"(357, 256)",float32,91392,0
dataset,/1a06,"(286, 256)",float32,73216,0
dataset,/1a0a,"(63, 256)",float32,16128,0
dataset,/1a0c,"(437, 256)",float32,111872,0
dataset,/1a0d,"(437, 256)",float32,111872,0
dataset,/1a0e,"(443, 256)",float32,113408,0
dataset,/1a0h_chain_id_A,"(159, 256)",float32,40704,0
dataset,/1a0h_chain_id_B,"(259, 256)",float32,66304,0
dataset,/1a0i,"(337, 256)",float32,86272,0
dataset,/1a0j,"(233, 256)",float32,59648,0
dataset,/1a0p,"(279, 256)",float32,71424,0
dataset,/1a0q_chain_id_A,"(212, 256)",float32,54272,0
dataset,/1a0q_chain_id_B,"(210, 256)",float32,53760,0
dataset,/1a0r_chain_id_A,"(339, 256)",float32,86784,0
dataset,/1a0r_chain_id_B,"(65, 256)",float32,16640,0
dataset,/1a0r_chain_id_C,"(195, 256)",float32,49920,0
dataset,/1a0t,"(413, 256)",float32,105728,0
dataset,/1a12,"(401, 256)",float32,102656,0
dataset,/1a14_chain_id_A,"(390, 256)",float32,99840,0
dataset,/1a14_chain_id_B,"(120, 256)",float32,30720,0
dataset,/1a14_chain_id_C,"(104, 256)",float32,26624,0
dataset,/1a15,"(67, 256)",float32,17152,0
dataset,/1a17,"(159, 256)",float32,40704,0
dataset,/1a1g,"(84, 256)",float32,21504,0
dataset,/1a1h,"(85, 256)",float32,21760,0
dataset,/1a1i,"(85, 256)",float32,21760,0
dataset,/1a1r,"(179, 256)",float32,45824,0
dataset,/1a1t,"(55, 256)",float32,14080,0
dataset,/1a1u,"(29, 256)",float32,7424,0
dataset,/1a1v,"(435, 256)",float32,111360,0
dataset,/1a1x,"(106, 256)",float32,27136,0
dataset,/1a21,"(205, 256)",float32,52480,0
dataset,/1a2o,"(347, 256)",float32,88832,0
dataset,/1a2y_chain_id_A,"(107, 256)",float32,27392,0
dataset,/1a2y_chain_id_B,"(116, 256)",float32,29696,0
dataset,/1a2y_chain_id_C,"(129, 256)",float32,33024,0
dataset,/1a2z,"(220, 256)",float32,56320,0
dataset,/1a32,"(85, 256)",float32,21760,0
dataset,/1a34,"(147, 256)",float32,37632,0
dataset,/1a3a,"(146, 256)",float32,37376,0
dataset,/1a3c,"(171, 256)",float32,43776,0
dataset,/1a3p,"(45, 256)",float32,11520,0
dataset,/1a3q,"(285, 256)",float32,72960,0
dataset,/1a3r_chain_id_A,"(220, 256)",float32,56320,0
dataset,/1a3r_chain_id_B,"(229, 256)",float32,58624,0
dataset,/1a3x,"(492, 256)",float32,125952,0
dataset,/1a41,"(224, 256)",float32,57344,0
dataset,/1a44,"(185, 256)",float32,47360,0
dataset,/1a45,"(174, 256)",float32,44544,0
